"Товар","","","","","Выручка и продажи","","","Работа с остатками","","","","Ценообразование","","","","Продвижение","","",""
"Название","SKU","Продавец","Бренд","Страна","Выручка, ₽","Средняя дневная выручка","Продажи, кол-во","Наличие","Оборачиваемость","Замороженный остаток, %","График количества складов","Базовая цена","Скидка","Цена со скидкой","График изменения цены","Дробный рейтинг","Отзывы","Дней на маркетплейсе","Средняя рекламная ставка"
"IdeaPad 3 15IAU7 15.6""/FHD/i3/8/256/Win","202864620","ООО ВБ Ритейл","lenovo","Китай","543979","18132.633333333335","13","124","286.15","83.87","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","54324","22","42063","42535,42535,42535,42535,42535,42535,42535,42535,41117,41117,41117,41117,41117,41117,41117,42063,42063,42063,42063,42063,42063,42063,42063,42063,42063,42063,42063,42063,42063,42063","5","11","213","0"
"MacBook Pro 14/M1 Pro/16/512 (Space Grey)","233049815","ООО ВБ Ритейл","Apple","Китай","872406","29080.2","6","117","585","92.31","0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","212990","31","146537","144833,144833,144833,144833,144833,144833,144833,144833,144833,144833,144833,144833,144833,144833,144833,144833,144833,144833,146537,146537,146537,146537,146537,146537,146537,146537,146537,146537,146537,146537","5","5","106","0"
"Мышь для ноутбука, USB","237156881","ИП Мирхоян Р Ж","ElitePC","","16566","552.2","101","111","32.97","0","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2","500","64","180","157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,171,171,171,171,171,180,180,180,180,180","4.9","41","101","0"
"Ноутбук для учебы HTEX H21 15.6"" игровой i5-12600H 16 512 ГБ","248279517","ИП Молооков Максим","HTEX","Китай","1762482","58749.4","42","107","40.76","0","0,0,0,0,0,0,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1","60000","35","38628","41292,40176,41292,41292,41292,41292,40734,40734,42966,42966,42504,42504,42504,41952,41952,41952,41400,40296,40296,40848,40296,40296,40296,40296,40296,39150,39150,39150,38106,38628","4.59","64","51","801"
"MacBook Air 13/M2/8/512 (Midnight)","178623839","ООО ВБ Ритейл","Apple","Китай","0","0","0","102","-1","100","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","199990","35","128993","130893,130893,130893,130893,130893,130893,130893,130893,127493,127493,127493,127493,127493,127493,127493,132593,132593,132593,134153,134153,134153,134153,128993,128993,128993,128993,128993,128993,128993,128993","4.8","35","359","0"
"Aspire Go 15 AG15-31P 15.6″ FHD i3 8 512 DOS","260493211","ООО ВБ Ритейл","Acer","","0","0","0","100","-1","100","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1","41799","13","36001","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36001,36001,36001,36001","0","0","4","0"
"Laptop 15s-fq0021ci 15.6″ FHD Celeron N4120 8 512 DOS","260493219","ООО ВБ Ритейл","HP","","29627","987.5666666666667","1","99","396","88.89","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1","34399","13","29627","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29627,29627,29627,29627","0","0","4","0"
"Беспроводная мышь прозрачная для компьютера и ноутбука","238701632","ИП Дубровская Е Н","ALEXVI ноутбук","","431","14.366666666666667","1","97","2910","98.97","0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","511","15","431","487,472,472,472,472,472,472,472,472,472,472,472,472,487,444,444,444,444,449,449,440,440,440,440,440,440,440,440,431,431","4.7","15","68","0"
"Ноутбук игровой мощный для учебы и работы нетбук мини 4 ядра","199830610","Proton Store","Proton","Китай","310831","10361.033333333333","14","95","101.79","55.79","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","39843","44","22184","22184,22184,22184,22184,22184,22184,22184,22184,22184,22184,22184,22184,22184,22184,22184,22184,22184,22184,22439,22184,22184,22184,22184,22184,22184,22184,22184,22184,22184,22184","4.7","60","259","227"
"Ноутбук для работы и учебы 14"" RAM 8GB SSD 256GB","244169956","ИП Каширина Галина Викторовна","GK Market","Китай","2077590","69253","99","95","28.79","0","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","50968","56","22171","20618,20618,20618,20618,18556,18556,18556,18556,20515,20515,20515,20515,20515,20515,20608,21546,21546,21546,22931,22670,22670,20519,20519,20519,20519,20967,20967,20967,20967,22171","5","157","70","669"
