"Товар","","","","","Выручка и продажи","","","Работа с остатками","","","","Ценообразование","","","","Продвижение","","",""
"Название","SKU","Продавец","Бренд","Страна","Выручка, ₽","Средняя дневная выручка","Продажи, кол-во","Наличие","Оборачиваемость","Замороженный остаток, %","График количества складов","Базовая цена","Скидка","Цена со скидкой","График изменения цены","Дробный рейтинг","Отзывы","Дней на маркетплейсе","Средняя рекламная ставка"
"MEGABOOK T1 16G + 512G(WIN11 5560U 14) Grey","261969458","Tecno Store","TECNO","","85242","2841.4","2","51","102","54.9","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1","48990","13","42621","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42621,42621,42621,42621","0","0","4","0"
"Ноутбук EVE C4403 14"" Celeron N4000 4Gb SSD128Gb W11","236365358","ООО Рентсофт","DIGMA","Китай","3096015","103200.5","208","51","7.11","0","0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","17446","13","15178","15178,15178,15178,15178,15178,15178,15178,15178,14715,14715,14715,14715,14715,14715,14715,14715,15178,15178,15178,15178,15178,15178,15178,14416,14416,14416,14416,14416,15178,15178","4.59","37","84","0"
"Ноутбук MateBook D16 (53013WXF) 16"" i5-12450H 16/512GB","216379217","Buyon","Huawei","Китай","828383","27612.766666666666","14","51","72.86","39.22","0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","69090","14","59417","59219,59219,59219,59219,59219,59219,59219,60108,60108,60108,58726,58726,58726,58726,58726,58726,58726,58726,59417,59417,59417,59417,59417,59417,59417,59417,59417,59417,59417,59417","4.9","23","196","220"
"Ноутбук GetMi E157 15,6"" IPS 4-Ядра 16/512 SSD.M2","248265357","ООО Лига Маркет","ЛИГА_","Китай","338600","11286.666666666666","14","51","47.36","5.88","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1","39900","39","24299","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26789,25213,24177,24177,24177,24177,24177,24177,24177,24177,24177,24177,24299","4.7","78","13","515"
"Ноутбук GemiBook Plus 15.6"" /N100/16G/512G/Win11","191578606","ООО МАГ Девайс","CHUWI","Китай","577395","19246.5","20","49","53.9","16.33","0,0,0,0,0,0,1,1,1,2,1,1,1,1,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1,1","37990","24","28754","28754,28754,28754,28754,28754,28754,28754,28754,31398,31398,29415,29415,29415,29415,29415,29415,28754,28754,29085,28754,28754,28754,28754,28754,28754,28754,28754,28754,28754,28754","4.7","216","305","0"
"Ноутбук RB-1450 14"" J4105 4x1.5GHz, 6Gb, 256Gb SSD","195943106","ООО Азерти","Azerty","Китай","756816","25227.2","46","49","31.96","0","0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","21260","19","17212","17334,17334,17334,17334,17334,17334,17334,17334,16215,15855,15855,15855,15855,15855,15855,16215,16215,16215,16402,16215,16215,16215,16576,17016,17016,17016,17994,17994,17994,17212","4.59","158","287","0"
"Ноутбук  EVE P4851 N200 16Gb SSD512Gb 14""  IPS FHD  W11Pro","247700946","ООО Рентсофт","DIGMA","Китай","32181","1072.7","1","48","1440","95.83","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","33517","13","29159","32181,32181,32181,32181,32181,32181,32181,32181,30568,30568,30568,30568,30568,30568,30568,30568,30442,32181,32551,32181,32181,32181,32181,29953,29953,29953,29953,29953,29159,29159","4.5","37","54","0"
"IdeaPad 1 15IAU7 15.6""/FHD/i3/8/512/Win","234078280","ООО ВБ Ритейл","lenovo","Китай","83309","2776.9666666666667","2","47","705","93.62","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","55999","26","41411","41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41898,41411,41411","0","0","91","0"
"Ноутбук GetMi E140C 14"" FullHD 16/512ГБ для учебы и работы","248278050","ООО Лига Маркет","ЛИГА_","Китай","1219183","40639.433333333334","51","46","27.06","0","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","39990","39","24353","23658,23658,23658,23658,23658,23658,23658,23658,22614,22614,22614,23310,23310,22727,22676,23723,24005,24353,24353,24353,24353,24353,24353,24353,24353,24353,24353,24353,24005,24353","5","78","32","538"
"TUF Dash F15 FX517ZM 15.6""/FHD/i7/16/512/RTX 3060/DOS","196666777","ООО ВБ Ритейл","Asus","Китай","301034","10034.466666666667","3","46","460","91.3","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","133633","25","99984","102229,102229,102229,101093,101093,101093,101093,101093,98821,98821,98821,98821,98821,98821,98821,99957,99957,98821,99984,99984,99984,99984,99984,99984,99984,99984,99984,99984,99984,99984","5","7","254","0"
"Ноутбук Acer SF314-43 14/Ryzen 3/8Gb/256Gb/(NX.AB1ER.004)","149760799","ООО Вайлдберриз","Acer","Германия","323400","10780","11","42","114.55","61.9","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","58800","50","29400","46452,46452,46452,46452,46452,46452,46452,46452,46452,46452,46452,46452,46452,46452,46452,41160,39396,39396,36456,36456,36456,33516,33516,33516,30576,29400,29400,29400,29400,29400","3","1","502","0"
"MacBook Air 13/M2/8/512 (Space Grey)","172229456","ООО ВБ Ритейл","Apple","Китай","0","0","0","42","-1","100","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","199990","35","128993","130893,130893,130893,130893,130893,130893,130893,130893,127493,127493,127493,127493,127493,127493,127493,132593,132593,132593,134153,134153,134153,134153,128993,128993,128993,128993,128993,128993,128993,128993","4.8","35","398","0"
"IdeaPad Slim 3 15ABR8 15.6""/FHD/Ryzen 5/8/512/DOS","227412418","ООО ВБ Ритейл","lenovo","","128619","4287.3","3","42","420","90.48","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","56000","24","42386","43825,43825,43825,43825,43825,43825,43825,42873,42873,42873,42873,42873,42873,42873,42873,42873,42873,42873,42873,42873,42873,42873,42873,42873,42873,42873,42873,42873,42386,42386","5","7","141","0"
"Ноутбук Lime C156PP NOS Core i5-8259U/8Gb/SSD256Gb/15.6""/IPS/FHD/NoOS/black","84404132","ООО Вайлдберриз","ACD Lime","Россия","0","0","0","41","-1","100","0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","68990","45","37944","55881,55881,55881,55881,55881,55881,55881,55881,55881,55881,55881,55881,55881,55881,55881,51742,49672,49672,46223,46223,46223,42773,42773,42773,39324,37944,37944,37944,37944,37944","4","3","845","0"
"ThinkBook 14 G6 ABP 14""/FHD/Ryzen 5/16/512/DOS","227412427","ООО ВБ Ритейл","lenovo","","57700","1923.3333333333333","1","41","1230","97.56","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","78026","25","58379","59689,59689,59689,59689,59689,59689,59689,57700,57700,57700,57700,57700,57700,57700,57700,57700,57700,57700,58379,58379,58379,58379,58379,58379,58379,58379,58379,58379,58379,58379","4.59","10","141","0"
"Игровой ноутбук для учебы и работы мощный","209344396","Edyge","Zenith","Китай","22000","733.3333333333334","1","41","369","87.8","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,2","50000","56","21750","22185,22185,22185,22185,22185,22185,22185,21750,21750,21750,21750,21750,21750,21750,21750,21750,21750,21750,22000,22000,22000,22000,22000,24794,24794,24794,24794,24794,24794,21750","4.7","82","219","0"
"Aspire 5 A515 15.6""/FHD/i5/16/512/DOS","172331066","ООО ВБ Ритейл","Acer","","58476","1949.2","1","41","1230","97.56","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","81900","27","59164","60565,60565,60565,59868,59868,59868,59868,59868,58476,58476,58476,58476,58476,58476,58476,58476,58476,58476,59164,59164,59164,59164,59164,59164,59164,59164,59164,59164,59164,59164","4.59","7","393","0"
"Ноутбук EVE P5852 N200 8Gb SSD 256Gb 15.6 IPS W11Pro","247697067","ООО Рентсофт","DIGMA","Китай","112362","3745.4","4","41","307.5","85.37","0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","30275","13","26339","29571,29571,29571,29571,29571,29571,29571,29571,26610,26610,26610,26610,26610,26610,26610,26610,29571,29571,29911,29571,29571,29571,29571,29571,29571,29571,29571,29571,26339,26339","4.8","23","54","0"
"ПК игровой ноутбук для работы с windows 11","221415515","Edyge","Smart Tech","Китай","2109024","70300.8","96","40","12.5","0","0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1","62533","61","24187","22185,22185,22185,22185,22185,22185,22185,21750,21206,21265,21265,21265,21265,21265,21265,21265,22135,22135,22389,22135,22135,22135,22135,22135,22135,22135,22135,22135,25234,24187","4.7","38","174","0"
"Ноутбук IdeaPad 3 15IAU7 i5-1235U/8Gb/512Gb SSD/UMA/DOS","258798850","ООО Дихаус Эком","Lenovo","Китай","0","0","0","40","-1","100","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2","68738","30","47841","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76970,76970,47841,48391,48391,48391,47841,47841,47841,47841,47841,47841,47841,47841,47841","0","0","15","0"
"MateBook D16 MitchellF-W5651 16″ FHD i5 16 512 Win","260493206","ООО ВБ Ритейл","Huawei","","0","0","0","40","-1","100","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1","64699","15","54528","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54528,54528,54528","0","0","4","0"
"MEGABOOK T1 16G + 512G (DOS R7-5800U 15.6) Silver без ОС","261968920","Tecno Store","TECNO","","50451","1681.7","1","39","156","71.79","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1","57990","13","50451","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50451,50451,50451,50451","0","0","4","0"
"MacBook Air 15/M2/8/256 (Space Grey)","172226670","ООО ВБ Ритейл","Apple","Китай","221602","7386.733333333334","2","38","570","92.11","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","179990","38","111449","110153,110153,110153,110153,110153,110153,110153,110153,110153,110153,110153,110153,110153,110153,110153,110153,110153,110153,111449,111449,111449,111449,111449,111449,111449,111449,111449,111449,111449,111449","4.8","48","396","0"
"Aspire 3 A315 15.6"" FHD Pentium N6000 8 256 DOS","172331046","ООО ВБ Ритейл","Acer","","109620","3654","3","37","370","86.49","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","60000","39","36540","38106,38106,38106,38106,38106,38106,38106,38106,36540,36540,36540,36540,36540,36540,36540,36540,36540,36540,36540,36540,36540,36540,36540,36540,36540,36540,36540,36540,36540,36540","4.9","19","393","0"
"Zerobook Ultra ZL12 15.6""/FHD/i9/16/512/Win","177649162","ООО ВБ Ритейл","Infinix","Китай","159869","5328.966666666666","2","37","555","91.89","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","109990","26","80402","82272,82272,82272,82272,82272,82272,82272,82272,80402,80402,80402,79467,79467,79467,79467,79467,79467,79467,80402,80402,80402,80402,80402,80402,80402,80402,80402,80402,80402,80402","4.5","19","336","0"
"Ноутбук 14"" 4-Ядра IPS 1920х1080 FHD RAM 8Gb SSD 1TB","207883006","ИП Бареев Р Г","World of Gadget","Китай","288882","9629.4","13","36","13.85","0","0,0,0,0,0,0,1,2,2,2,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2","46270","50","22986","25349,25349,25349,24920,24920,24920,24920,24920,24920,22342,20900,22527,21302,20498,20900,20900,20900,20900,21141,22952,22986,22986,22986,22986,22986,22986,22986,22986,22986,22986","4.59","357","229","0"
"Ноутбук EVE 15 C5800 15.6"" N4020 8Gb SSD256Gb W11","250268235","ООО Рентсофт","DIGMA","Китай","81423","2714.1","4","35","262.5","82.86","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","22105","13","19231","20871,20871,20871,20871,20871,20871,20871,20871,20871,20871,20871,20871,20871,20871,20871,20871,14610,20871,21111,20871,20871,20871,20871,20450,20450,20450,20450,20450,19231,19231","5","10","41","0"
"Ноутбук для работы и учебы 15.6"" IPS 4-Ядра 16GB SSD 512GB","168445058","ИП Григорян М","DeltaTech","Китай","458190","15273","16","34","63.75","29.41","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","69390","58","28977","28977,29580,29580,29580,29580,29580,29580,29580,29580,29580,29580,29580,29580,29580,29580,29580,27769,27769,27769,27769,27769,27769,27769,27769,27769,28373,28373,28373,27166,28977","4.7","122","437","191"
"Ноутбук GemiBook Plus 15.6"" /N100/8G/256G/Win 11","177360239","ООО МАГ Девайс","CHUWI","Китай","144252","4808.4","6","33","115.5","60.61","0,0,0,0,0,0,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","29790","14","25398","24003,24003,24003,24003,24003,24003,24003,24003,24042,24042,24042,24042,24042,24042,24042,24549,25308,25308,25599,25308,25308,25398,25398,25398,25398,25398,25398,25398,25398,25398","4.7","216","366","0"
"MacBook Air 15/M2/8/512 (Silver)","172200669","ООО ВБ Ритейл","Apple","Китай","132347","4411.566666666667","1","31","930","96.77","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","189990","30","132347","130808,130808,130808,130808,130808,130808,130808,130808,130808,130808,130808,130808,130808,130808,130808,130808,130808,130808,132347,132347,132347,132347,132347,132347,132347,132347,132347,132347,132347,132347","5","95","396","0"
"Macbook Air 15/M3/8/256 (Starlight)","226540370","ООО ВБ Ритейл","Apple","Китай","261616","8720.533333333333","2","31","465","90.32","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","189990","31","130713","132423,132423,132423,132423,130808,130808,130808,130808,130808,130808,130808,130808,130808,130808,130808,129193,129193,129193,130713,130713,130713,130713,130713,130713,130713,130713,130713,130713,130713,130713","4.59","8","150","0"
"Laptop 15s-fq5100ci 15.6″ FHD i5 8 512 DOS","260493213","ООО ВБ Ритейл","HP","","0","0","0","30","-1","100","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1","52199","14","44504","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44504,44504,44504,44504","0","0","4","0"
"Ноутбук  EVE P4851 N200 8Gb SSD 256 Gb 14""  IPS FHD  W11Pro","247701605","ООО Рентсофт","DIGMA","Китай","0","0","0","30","-1","100","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","32990","13","28701","28701,28701,28701,28701,28701,28701,28701,28701,25827,25827,25827,25827,25827,25827,25827,25827,28701,28701,29031,28701,28701,28701,28701,28701,28701,28701,28701,28701,28701,28701","4.5","37","53","0"
"Ноутбук AZ-1526 15.6"" N95 4x1.7Ghz, 12Gb, 512Gb","211485279","ООО Азерти","Azerty","Китай","520697","17356.566666666666","20","30","36","0","0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2","30780","18","25202","27060,27060,27060,27060,27060,27060,27060,27060,25314,24751,24751,24751,24751,24751,24751,25314,28866,28866,29198,28866,28866,28866,25979,25979,31445,26618,26618,26618,26618,25202","4.9","50","189","0"
"Laptop 15s-fq5094ci 15.6″ FHD i5 16 512 DOS","260493220","ООО ВБ Ритейл","HP","","0","0","0","30","-1","100","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1","55499","14","47318","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47318,47318,47318,47318","0","0","4","0"
"MEGABOOK T1 16G + 512G(WIN11 5800U 14) Grey","261969464","Tecno Store","TECNO","","0","0","0","30","-1","100","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1","53990","13","46971","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46971,46971,46971,46971","0","0","4","0"
"MateBook D 14 MendelF-W5651D 14″ FHD i5 16 512 Win","260493209","ООО ВБ Ритейл","Huawei","","0","0","0","30","-1","100","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1","67899","15","57225","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57225,57225,57225","0","0","4","0"
"MEGABOOK T1 16G + 512G(DOS 5560U 14) Grey без ОС","261969459","Tecno Store","TECNO","","40011","1333.7","1","29","116","62.07","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1","45990","13","40011","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40011,40011,40011,40011","0","0","4","0"
"MEGABOOK T1 16G + 512G(DOS 5560U 14) Silver без ОС","261969461","Tecno Store","TECNO","","40011","1333.7","1","29","116","62.07","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1","45990","13","40011","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40011,40011,40011,40011","0","0","4","0"
"Ноутбук 14.1"" W10pro SSD512GB Intel Celeron J4105 6 GB","238841084","ИП Утенкова М С","SmartX","","0","0","0","29","-1","100","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2","39999","48","20531","20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20767,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531","4.8","29","92","0"
"Ноутбук RB-1750 17.3"" N5095 4x2.0Ghz, 16Gb, 512Gb","211485288","ООО Азерти","Azerty","Китай","379238","12641.266666666666","12","29","65.25","31.03","0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2","41390","18","33890","34333,34333,34333,34333,34333,34333,34333,34333,32118,30691,30334,30334,30334,30334,30334,32118,32118,32118,32118,32118,36644,36644,39670,39670,39670,38078,38078,38078,38078,33890","4.8","85","209","0"
"IdeaPad Slim 3 15ABR8 15.6""/FHD/Ryzen 7/16/512/DOS","227412419","ООО ВБ Ритейл","lenovo","","325506","10850.2","6","29","145","68.97","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","70502","23","53962","53934,53934,53934,53934,53934,53934,53934,53934,53934,53934,53934,53934,53934,53934,53934,53934,53934,53934,54568,54568,54568,54568,54568,54568,54568,54568,54568,54568,53962,53962","5","7","142","0"
"Ноутбук Chuwi GemiBook Xpro 14.1"" 1920*1080/N100/8G/256G","151775685","ООО МАГ Девайс","CHUWI","Китай","159893","5329.766666666666","7","28","120","64.29","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","27390","16","22876","22637,22637,22637,22637,22637,22637,22637,22637,23114,23114,23114,23114,23114,23114,23114,22876,22876,22876,23139,22876,22876,22876,22876,22876,22876,22876,22876,22876,22876,22876","4.7","216","473","0"
"Ноутбук 15""6 дюймов ультратонкий для работы, учебы и офиса","231745437","ИП Манаева О В","VSlux","Китай","314626","10487.533333333333","14","28","60","25","0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2","49998","54","22999","22329,22785,22785,22785,21418,21418,21418,21418,20051,22999,24321,24321,24321,24321,24321,22999,22999,22999,22999,22999,21619,21619,21619,22079,22079,22539,22539,22539,22999,22999","4.5","167","120","700"
"Macbook Pro 16/M3 Pro/18/512 (Silver)","188630254","ООО ВБ Ритейл","Apple","Китай","2393895","79796.5","10","27","81","44.44","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","349990","32","237783","240968,240968,240968,240968,240968,240968,240968,240968,240968,240968,240968,240968,240968,240968,240968,235018,235018,235018,237783,237783,237783,237783,243803,243803,243803,237783,237783,237783,237783,237783","4.9","47","296","0"
